sentimen,Tweet
0,Yang perlu diwaspadai adalah kabut asap ini berpotensi mengganggu kesehatan. Dengan pembagian masker diharapkan masyarakat dapat terhindar dari serangan ISPA.
0,Yang perlu diwaspadai adalah kabut asap ini berpotensi mengganggu kesehatan. Dengan pembagian masker diharapkan masyarakat dapat terhindar dari serangan ISPA.
1,1. Pemanfaatan gas buang sebagai sumber energi listrik merupakan bentuk komitmen PT Semen Indonesia (Persero) Tbk dalam mengurangi dampak efek rumah kaca melalui pengurangan emisi CO₂.
-1,26. Bencana ini telah menyebabkan setengah juta orang menderita ISPA dan miliaran karbon dioksida dan unsur gas rumah kaca terlepas ke atmosfer.
1,"Apel Gelar Kesiapsiagaan dalam Penanggulangan KARHUTLA kerjasama Koramil 0906-06/Samboja Polsek Samboja Balitek KSDA dan Pemerintah Kecamatan Samboja dipimpin DANRAMIL 0906-06 di halaman Kecamatan Samboja.
Samboja 7 September 2018"
-1,Orang yang terpapar asap rokok/ perokok pasif 16 kali lebih berbahaya daripada terpapar polusi udara biasa. [Studi di India]
0,5. ManggalaAgni KLHK membangun 2 posko siaga untuk mempermudah koordinasi dengan para pihak. Kedua posko tersebut berlokasi di Desa Babatan Saudagar Kabupaten Ogan Ilir dan posko kedua di Kecamatan Muara Belida Kabupaten Muara Enim.
0,"4. ""Di Sumatera Selatan Patroli Terpadu Pencegahan Karhutla terus diintensifkan pada 50 posko desa yang mampu menjangkau 178 desa rawan"" ucap Raffles."
1,Tim Satgas Berjibaku Padamkan Karhutla di Sejumlah Kecamatan Inhil
1,beberapa tahun terakhir di desa saya ada peraturan dilarang menyalakan kembang api/petasan. boleh sbenanti saja tapi mepet di mlm tahun baru bahkan saat jelang nyepi sama sekali tidak boleh. terima kasih karena membantu mengurangi polusi suara dan udara banyak jantung sehat terjaga
-1,8. EksekusiKarhutla Eksekusi putusan menemui masalah pada perkara karhutla yang cukup banyak digugat oleh KLHK sejak 2013 contohnya pada KLHK menggugat PT Kallista Alam
-1,Selamat hari polusi sedunia!
-1,"Ribuan Burung & Hewan Kecil Lainnya Mati
Lapisan Ozon rusak
Polusi Bebar²an Terjadi
Anjing & Kucing dll Stress Bahkan Bisa Mati Karena Terkejut dan Panik
Lo Ga Sengaja Ngisep asap Korek Kayu saja Kesiksa Apalagi Makhluk hidup yang menghirup asap Kembang Api di Luaran Sana"
0,untuk memulihkan penuaan kulit akibat kurang tidur memerlukan waktu lebih lama dibandingkan dengan penuaan akibat radiasi UV atau polusi
1,"Pagi dan siang ini Jakarta ramah sekali.
Tidak macet tidak padat minim polusi."
-1,banyak polusi di akhir tahun
1,Konservasi lahan gambut hutan mangrove dan padang lamun sangat berpotensi dalam mencapai target pengurangan emisi karena ekosistem tersebut memiliki kemampuan dalam menambat karbon yang lebih baik dibandingkan dengan ekosistem lainnya.
1,"Komitmen BP untuk masa depan rendah karbon:
1. Pertumbuhan emisi bersih - menjaga emisi gas rumah kaca dari operasionalnya agar tetap berada di angka yang sama dengan tahun 2015 atau di bawah angka tersebut pada tahun 2025."
1,Mangrove merupakan salah satu kekayaan alam yang dapat menyerap emisi karbon dioksida paling banyak.
1,Presiden wajibkan K/L BUMN Pemda membeli Mobil & Motor Listrik untuk sebagian Kendaraan Operasional mereka sehingga bantu Industri Kendaraan Listrik hemat konsumsi BBM kurangi emisi Karbon memberi contoh baik kpd masyarakat.
1,Presiden baiknya tugasi Men ESDM untuk sgr laksanakan Bauran 30 persen Biofuel di SPBU se Indonesia sehingga hemat Impor BBM & Cadangan Devisa kurangi Emisi Karbon tumbuhkan Industri Biofuel di Daerah2 yang serap Jt-an Pengangguran ungkit Daya Beli Rakyat.
0,Andai ada ahli yang bisa menghitung jejak karbon karena ada kebijakan jalan TOL ini bisa ketahuan jumlah emisi karbon yang bisa direduksi dibandingkan kalau kendaraan2 ini lewat jalan biasa yang sempitakibat Jumlah kendaraan yang makin meningkat sehingga jadi macet & harus antri. @e100ss @jokowi
-1,Keberadaan PLTU di Indonesia harus dikurangi mengingat dampak lingkungan dan kesehatan dari pembakaran batubara untuk menghasilkan energi
1,4. Target Indocement adalah untuk menurunkan emisi gas CO2 hingga 11.0% pada tahun 2020 nanti
1,Nah salah satu fungsi mangrove adalah untuk menyerap karbon yang luar biasa memberikan keuntungan tersendiri untuk wilayah dengan tingkat emisi karbon yang tinggi
1,5 .Selain itu Indocement juga menanam pohon perdu yang dapat menyerap emisi CO2 di sekitar pabrik sekaligus untuk mempercantik area tersebut.
-1,Orang2 sibuk aktivitas harian kayak tidak tau emisi CO2 makin hari makin nambah. Gue nya stress sendiri baca berita.
-1,Generasi muda kalimantan dan sumatera kemungkinan bisa banyak gak lolos tes tni/polri lah mereka sudah kena ispa gara2 kabut asap
-1,Mobil & motor menjadi penyebab utama polusi di Jakarta. Apa tanggung jawab produsen & dealer mobil & motor atas polusi di Jakarta? Ada yang tau?
-1,"Padat merayap
Polusi
Ini yang bikin orang gagal move on"
-1,musibah ini menyebabkan setengah juta orang menderita ISPA dan miliaran karbon dioksida dan unsur gas rumah kaca terlepas ke atmosfer.
-1,"Enak ya di Bandung pake body lotion langsung nyerep ga meleleh beda sama di Belitung hehe random.
tapi kenapa pas mau pindah balik Bandung kok ngerasa asing
Mungkin karena sudah lama tidak ada macetngantri tempat makan polusi"
-1,Selama 17 tahun terakhir Riau selalu diselimuti kabut asap akibat pembakaran hutan dan lahan.
-1,kita sudah penat dengan kebisingan sesak dengan polusi udara jijik dengan pencemaran air bosan melihat sampah di jalanan masih saja dijejali caci maki sesama manusia. andai kita paham bahasa alam mgk kita bisa mendengar teriakannya
0,Kemaren2 terasa hari minggu juga mungkin karena mobil tidak terlalu banyak lewat di jalanan jadi polusi udara tidak terlalu lalu mungkin itu yang terjadi kalo hari minggu pantes selalu terasa beda udara di hari minggu.
-1,Bencana ini telah menyebabkan setengah juta orang menderita ISPA dan miliaran karbon dioksida dan unsur gas rumah kaca terlepas ke atmosfer.
1,Elaborasi tentang program bagaimana upaya merehabilitasi hutan Kalbar terutama lahan gambut yang rawan terbakar dan terbuka untuk emisi karbon. Menanggapinya Karolin menuturkan ketika bicara tentang alam Kalbar tidak bisa lepas dari sejarah.
-1,"Sejak 1997 setiap kemarau warga Pekanbaru hirup asap karhutla. Sejak 2014 asap hilang
Riau negeri minyak namun tak pernah nikmati hasilnya. Sekarang dibangun tol Pku-Dumai & tol Sumatera
Neno ujug2 datang & mau ganti orang yang berjasa buat Riau."
0,Car Free Day ada bertujuan untuk mengurangi polusi asap kendaraan. Tapi malah menambah polusi sampah. Soalnya kita buang sampahnya sembarangan.
1,Namun sejak Pak Jokowi menjabat presiden persoalan kabut asap ditangani dengan baik.
-1,Hasil riset @Harvard menemukan biaya kesehatan sebesar US$267 miliar atau Rp.351 triliun yang ditanggung akibat pembangunan PLTU batubara
0,Jika PLTU Batubara masih dianggap polusi oke aku siap untuk merubahnya!
-1,Baku Mutu Emisi PLTU batubara di Indonesia Lebih Buruk Dibanding India
-1,Bukannya batubara yang sejak pertambangan hingga pembakaran di PLTU meninggalkan jejak kerusakan.
-1,Bagaimana dengan masyarakat hidup dan tinggal di sekitar PLTU batubara? terkadang mereka tidak punya pilihan lebih tepatnya terpaksa.
1,Elaborasi tentang program bagaimana upaya merehabilitasi hutan Kalbar terutama lahan gambut yang rawan terbakar dan terbuka untuk emisi karbon. Menanggapinya Karolin menuturkan ketika bicara tentang alam Kalbar tidak bisa lepas dari sejarah.
1,"Jelas pake nuklir lebih murah daripada batubara
Lifetime PLTN bisa sampai 60 tahun bahkan extend 80 tahun
Kalo pltu sekitar 20-30 tahun saja"
1,Secara bertahap mereka akan mengganti sumber energi PLTU batubara yang sudah beroperasi dengan gas alam yang relatif lebih bersih.
1,Pemerintah @KementerianESDM komit turunkan emisi karbon sebesar 29% secara business as usual & 41% dengan bantuan internasional. Ingat sektor batubara berkontribusi terhadap kenaikan emisi karbon ini.
-1,batubara memiliki emisi berlipat dari hulu ke hilir mulai dari pertambangan (membuka hutan & merusak landscape) hingga pembakaran di PLTU
-1,Emisi karbon nasional sektor transportasi & pembangkit listrik pun saat ini berada di peringkat ketiga teratas. Hal ini disebabkan karena ketergantungan Indonesia terhadap Bahan Bakar Fosil.
-1,dari Mulyani: penyakit debu batubara sebagai silent killer. Ia akan menyerang seluruh bagian paru-paru hingga tidak berfungsi.
1,Kemen ESDM baiknya sgr terapkan Bauran 30 persen Biodiesel-Bioetanol sehingga kurangi beban kenaikan harga BBM Impor hemat Devisa Impor bangkitkan industri Biofuel di Daerah yang serap Jt-an Naker kurangi Emisi Karbon. Philipina Impor Bioetanol kita untuk bauran BBM mereka.
0,Antisipasi suhu Indonesia 2100 bisa mencapai 40 derajat C setiap Kab/Kota sejak sekarang harus bangun minimal 1 Waduk +.Area Hijau Tangkapan Waduk di Hulu Sungainya. Ini penting untuk turunkan Suhu Mikro 5 derajat Cadangan Air PDAM & Irigasi serap Emisi Karbon Wisata Air-Pancing.
1,kom1 Satya Widya fraksigolkar jatim9: pengurangan emisi karbon itu jadi urgensi setiap negara. Itu menjadi kesadaran universal nah semoga perlindungan data pribadi juga menjadi kesadaran yang universal.
-1,Tahun baru= hari terpolusi udara
1,Kemen ESDM & Kemen BUMN baiknya sgr tugasi Pertamina laksanakan Bauran Biodiesel-Bioetanol 30 persen di setiap SPBU sehingga kurangi Impor BBM yang terus naik harganya kurangi Emisi Karbon hemat Devisa bangkitkan Industri Biofuel di Daerah tidak perlu repot CPO kita ditolak Uni Eropa
-1,Gambut adalah penyimpan terbesar emisi karbon. Mengeringkannya apalagi membakarnya adalah salah satu cara mempercepat pemanasan global
1,"Hal kecil yang bisa kita lakukan :
Tanamlah pohon
Gunakan energi yang terbaharui
Kelola penggunaan air
Naiklah kendaraan umum seperti bus atau kereta
Lakukan daur ulang
Berjalan kaki atau naik sepeda
Kurangi gas emisi karbon. Kita bisa menguranginya sampai 'nol'"
-1,"Emisi karbon yang besar merupakan penyebab adanya perubahan iklim atau yang sering disebut climate change. Apakah penting memahami akan fenomena ini?
Jawabannya ya penting banget"
1,4. @SitiNurbayaLHK @KementerianLHK program penurunan emisi karbon yang saat ini gencar dijalankan di kampung-kampung sama sekali tidak adil. Semua program ini mengorbankan petani baik melalui skema perhutanan sosial maupun penataan tata kelola dan lahan petani.
-1,"Lalu manusia berbuat sesuatu. Melakukan aksi nyata dengan yang namanya Earth Hour.
Gimme a break!
Apalagi di Indonesia emisi karbon tertinggi adalah dari kendaraan bermotor. Bukan di perangkat listrik. Lalu yang dimatikan adalah : Listriknya. Sungguh salah alamat yang HQQ."
0,6. @SitiNurbayaLHK @KementerianLHK para peneliti seperti Mark Maslin menyebut 80% emisi karbon di atmosfer secara global berasal dari pembakaran energi fosil. Sedangkan 20% berasal dari konversi lahan yang dilakukan oleh perusahaan program transmigrasi dan infrastruktur.
-1,"Sepeda sebagai alat transportasi ke tempat kerja memangbelum populer di Indonesia. Di masa sekarang penggunaan sepeda lebih kpd hobi & olahraga bagi kelompok masyarakat.
Ketimbang menggunakan kendaraan bermotor yang menyumbang emisi gas karbon di udara & berdampak pada iklim bumi"
0,20. Masih data yang sama Jika perusahaan telah mengelola hutan dan menebang seluruh pohon dengan umur manfaat 10 tahun dan 30 tahun. Perusahaan telah menghitung defisit emisi karbon sebesar Rp 2.000.000.000 berapa total nilai emiten karbon yang ditanggung entitas?
-1,"Siwon Coy jogging di jalanan Jakarta
pulang-pulang ke Korea kena ISPA tuh orang"
-1,2. jika karst menghilang maka hutannya pun akan hilang pasokan oksigen akan berkurang dan mulai menimbulkan debu. menjadikan atmosfer di lingkungan sekitarnya tidak baik untuk dikonsumsi dan akan menimbulkan penyakit untuk masyarakatnyaseperti ispa dan kanker dalam waktu lama
0,Suddenly sakit dada sesak napas pasti terus sakit kepala brr.
-1,Sampah dimana-mana kualitas air bersih semakin buruk udara tambah panas mbayar sembako ae saling serobot. Sometimes mesakno salman kok yo kudu hidup di masa kayak gini ya
-1,seharusnya seharusnya. mobil hybrid itu dapat pemotongan pajak biar harganya lebih murah dari mobil biasa. karena lebih irit BBM. efeknya jadi irit subsidi BBM. lebih ringan emisi karbon efeknya bumi lebih sejuk. tapi ya ginilah indon. kalau bisa dipersulit ngapain dipermudah.
0,Mungkin teroris ini berniat baik untuk mengurangi tingkat emisi karbon dioksida dan karbon monoksida yang dihasilkan manusia. Mungkin mereka ingin menahan ledakan penduduk yang mungkin terjadi sebentar lagi. Mungkin juga mereka goblok karena otaknya cuma isi es kepal milo.
1,Alhamdulilah terima kasih ya Allah atas napas udara serta kesihatan yang masih diberi
1,kom5 Kepala BPTJ : alokasi untuk pusat pengembangan udara terutama untuk alokasi kegiatan peningkatan kualitas tenaga pendidik ada 90 orang
1,4. Nantinya Riset ini akan menjadi masukan bagi pemerintah untuk menerapkan kebijakan pengembangan kendaraanlistrik. Indonesia ditargetkan bisa memproduksi kendaraan emisi karbon rendah (low carbon emission vehicle/LCEV) hingga 20 persen pada tahun 2025.
0,Ternyata panasnya Jakarta masih kalah sama semarang tapi kualitas udara semarang jauh jauh jauh lebih baik
-1,bangqe kalo malem gausah bakar sampah napa. orang ispa lu mau tanggung jawab
-1,asapnya ya Allah sampe malem gini gue sumpahin orang yang bakar hutan nih fix bikin orang2 ispa
1,Malam ini nagor bintangnya banyak mungkin karena polusi udara berkurang karena di balik jadi langitnya tidak tertutup polusi.
-1,Asap dimana2 = pencemaran udara = Penyakit.
-1,"Udara tahun 2019 masih kotor saja. BlackComedy
Happy New Years"
-1,"""Nya putusan Karhutla yang Jokowi itu apa?""
""oh itu Pak kelanjutan tempo hari. kan putusnya tahun lalu.""
""loh udah lama? kok baru rame?"" - kenapa oh kenapa ""tidak tahu Pak. perlu ditulis lagi?""
""tidak usah lah kalau udah lama.""
---
demikianlah."
1,Yang perlu kalian tahu Jokowi pernah langsung meninjau sendiri ke lapangan untuk mencari solusi yang tepat dalam mengatasi dan mengantisipasi kabut asap. Mantap.
0,Kasihan ya pak Jokowibeliau harus menanggung banyak beban kesalahan dari pemerintahan sebelumnya.termasuk kasus karhutla di palangkaraya.semoga ada solusi terbaik dari kasus yang pelik ini ya.amin
-1,Kota batang bakal ada PLTU batubara kota rembang ada pabrik semen bisa dibayangkan polusi di pantura. Pantura krisis udara bersih
-1,Menonton TV melalui smartphone atau tablet bisa menghasilkan jumlah emisi karbon sama dengan jumlah yang dikeluarkan o/ mobil yang berjalan sejauh 16 km.
-1,Sejak kolam retensi ditimbun banyak polusi yang terjadi para siswa terkena dampak ispa dan infeksi mata
-1,Bu @SitiNurbayaLHK konkritkan Perhutanan Sosial bisa penuhi janji Indonesia menurunkan 29% emisi karbon hingga 2030. Perhutanan Sosial baik via P83/2016 maupun P39/2017 masih terkendala birokrasi kehutanan yang berbelit-belit. @KSPgoid @jokowi
-1,"Kota kelahiranku
Ga ada hujan terjadi bencana asap karena kebakaran lahan disengaja ataupun tidak. Angka kejadian ISPA terutama pada anak meningkat
Sekalinya hujan petir listrik mati angin kencang sampai pepohonan tumbang banjir
Serba salah"
-1,pasar m. aman debunya mkn tebel karena proyek ptm plus sudah 3 hr ga hujan ~ aliyah yang suka main diluar sekarang kayaknya kena ISPA mulai batuk pilek demam innalillah main dalam aj y nak ~
1,“Semenjak 17 tahun terakhir dua tahun terakhir ini hampir tidak ada lagi kebakaran hutan dan kabut asap yang menjadi bencana tahunan semenjak Pak Jokowi menjabat ini sebuah prestasi” ujar Lukman Edy.
1,Salah satu pertimbangan penting adalah keberhasilan Presiden Jokowi mengatasi masalah kabut asap yang menghantui Riau hampir 17 tahun. Di bawah kepemimpinan Presiden Jokowi kini Riau selamat dari marabahaya kabut asap.
1,Tak ada lagi kabut asap di Riau karena penanganan cepat oleh pak Jokowi. Kita dukung beliau selalu.
1,masyarakat Riau senang dan bahagia soalnya sekarang sudah tak ada lagi kabut asap. Lega deh bernapas.
1,Gimana masyarakat Riau tidak senang dan bahagia soalnya sekarang sudah tak ada lagi kabut asap. Lega deh bernapas.
-1,Cari sesuatu yang lain yang perlu dilawan dong.banyak kok contohnya pembangunan PLTU batubara di pemalang. Pabrik semen di rembang
1,“Semenjak 17 tahun terakhir dua tahun terakhir ini hampir tidak ada lagi kebakaran hutan dan kabut asap yang menjadi bencana tahunan semenjak Pak Jokowi menjabat ini sebuah prestasi” ujar Lukman Edy.
0,Tapi memangtidak ada hubungannya loh sama panas apalagi polusi. Gue baca di situs kesehatan dari Australia influenza jenis ini sering terjadi di negara-negara saat musim dingin.
0,Pasti sih kak bakal mengurangi banget polusi
-1,jujur ga bisa hirup asap kendaraan
0,bisa jadi tools & bahan skripsi gue Inventarisasi Emisi Karbon dari Turnamen Kualifikasi Olimpiade di Tokyo Jepang
-1,Ibukota di Jakarta tidak dirawat. Apakah ibukota baru nanti di Kalimantan bakal lebih sehat dan serius dirawat dan dijaga sebagai IBUKOTA negara? Ngantor pakai masker semua
-1,Selamat Minggu pagi 04.08.2019. Cerah tapi smoggy: TIDAK SEHAT untuk KELOMPOK SENSITIF. Bayi penderita asma lansia dan yang punya masalah kesehatan hati2 beraktifitas di luar ya
-1,Saat jarak pandang semakin berkurang @AkuDanPolusi *kalibata 030819
-1,Selamat pagi berkabut lagi Jumat 2 Agustus 2019 jam 06.00 sekitar Semanggi: UNHEALTHY Indoor exposure-ku 3.9x lipat batas aman outdoor 6.5x lipat Jangan lupa pakai masker ya gaessss @blogdokter @dokterparu @dokterparsudah
-1,Sejak notifikasi hingga pengajuan gugatan warga negara @AkuDanPolusi terhadap kondisi udara Jakarta yang semakin buruk gue belum liat ada respon jelas dari @KemenkesRI baik berupa himbauan / anjuran penggunaan masker yang proper misalnya AkudanPolusi polusiudarsajakartaBAHAYA
-1,Asap Polusi PT. Gunung Garuda. Warung bongkok.
-1,Aku kira dada ku mulai sesak karena dia cuman ngeread pesan ku ternyata polusi udara jakarta yang semakin hari semakin mengintai dan menyelimuti!!!
-1,Maap adminnya AkudanPolusi stress ya polusi bikin stress~
-1,Selasa pagi 30.07.2019 langit Jakarta ’berkabut’ lagi dan pantauan @MyAirVisual kembali didominasi titik-titik merah dan ungu untuk yang beraktifitas di luar rumah tolong PAKAI MASKER @jokowi @SitiNurbayaLHK @detikcom @HealthNewsID
-1,Pagi ini Minggu 28 Juli 2019 menyalakan HP ada notifikasi @MyAirVisual ”GET A MASK”! Jakarta ranking 1 lagi pagi ini Sampai kapan polusiudara Jakarta dianggap ’aman’ ?
-1,Pagi ini langit Jakarta pusat bergradasi menyambut akhir minggu
-1,Langit Jakarta & Tangerang yang kelabu dan berkabut polusi Diambil di Bandara Soekarno-Hatta Kamis 25.07.2019 pukul 18.10.
-1,Warga Resmi Gugat Gubernur Menteri hingga Presiden! Semoga ini langkah awal agar kualitas udara di Jakarta dan sekitarnya dapat diperbaiki secara Terstruktur Sistematis dan Masif. greenpeace.orang/indonesia/sia…
-1,"kumparan.com/kumparansains/k…
Diberlakukannya PSBB atau tidak polusi udara tetap saja tinggi
dari bln 3-6 dan di bln 9-10 sama saja tidak pernah bgs kualitas udaranya polusi"
-1,Laporan polusi udara wajib lengkap dari sumber terpercaya kd tahu secara pasti keadaan yang sedang terjadi saat ini polusi jakarta buruk
-1,"15/07/2023 Sabtu
Setelah di foto dan diukur mandiri ternyata polusi udara jakarta masih berada di level mengkuatirkan kacau ya"
-1,24 jam polusi udara pd mlm hr ini dinilai buruk dosa pemerintah Republik Indonesia
-1,Ini data polusi udara pukul 6 pm mlm hr ini. Pemerintah tidak berguna pembawa sial dan bencana tidak bermutu pemerintahannya
-1,Polusi jakarta pukul 8 pm malam hari ini durasi 20 jam polusi udara jakarta hari ini dinilai buruk pemerintah pembawa sial
-1,Tidak ada kebaikan dalam keadaan udara yang berpolusi udara tinggi bagi manusia. Mengerikan dampak kesehatan yang ditimbulkannya. Seluruh rakyat Jakarta harus bersama dan dengan kuat mengatakan tidak terhadap polusi udara ya
-1,Polusi udara selain mengotori paru2 kita lewat media udara. Perut kita juga terdampak loh. Debu menempel di makanan siap saji di resto yang kontak langsung dengan udara bebas. Debu tsb melekat di makanan itu lalu terkonsumsi oleh kita. Masuk kedalam perut ini bisa mengakibatkan gangguan
0,"Data pukul 4.46 pm Jakarta.
Menjelang pukul 5 pm polusi udara jakarta pusat utara timur dan bekasi. Turun ke level orange"
-1,Data polusi jakarta pukul 2 pm siang hari ini 14 jam non stop polusi udara terjadi di jakarta. Kampret parah pemerintah
-1,kompas.com/sains/read/2022/0… Polusi udara jakarta no 1 di asia tenggara dan di thn 2023 ini juga no 1 didunia melampaui india pemerintah model begini wajib di demo habis habisan oleh rakyatnya
-1,lifestyle.bisnis.com/read/20… Pembiaran polusi udara di jakarta itu sama saja kita men downgrade kualitas sdm indonesia untuk masa depan.masih ada peluang tidak nih jadi indonesia emas tahun 2045 ? Jika kawula muda indo lemah fisik lemah mental nya? Pemerintah tidak memikirkan? kok gue yang mikir
1,sains.sindonews.com/read/755… dengan disubdisinya alat tesebut diatas kita bisa mencegah lebih banyak orang mendadak sakit karena polusi udara. Salah 1 cara juga untuk mencegah ledakan penggunaan BPJS
1,"Ini adalah rumah-rumahan dari kardus bekas karya mereka yang datang hari kemarin bagian dari seni instalasi yang dipasang di acara ""Langit Biru Di Kotaku"". Ini sebagai simbol mereka penghuni Kota ini berkeinginan agar kota tempat tinggalnya menjadi nyaman tanpa polusi udara."
0,Hasil penelitian di jurnal medis BMJ Open menunjukkan hubungan antara polusi udara dan meningkatnya risiko demensia.
1,Ini merupakan bagian dari rencana aksi tiga tahun untuk mengembalikan langit baru dari cengkeraman polusi udara pada periode 2018 hingga 2020 mendatang.
0,Laporan tersebut yang diterbitkan dalam jurnal ilmiah Environmental Research Letters muncul saat China baru-baru ini memperketat target pengurangan efek cemar pada lapisan ozon yang dihasilkan oleh kota-kota besar setempat.
-1,Polusi Udara yang mengakibatkan lubang ozon diperkirakan telah memicu kerugian hingga 267 miliar yuan (setara Rp 582 triliun dengan kurs Rp 2.187 per 1 yuan) terhadap ekonomi China.
-1,Siang ini kualitas udara Jakarta masuk kedalam kategori TIDAK SEHAT dan menempati posisi nomor 2 paling berpolusi. Gunakan maskermu saat beraktivitas diluar ruangan!
-1,Pemerintah wajib memberikan pertanggung jawabannya kepada rakyat indonesia dalam mengatasi masalah polusi udara
-1,kompas.id/baca/humaniora/202… Polusi udara = bencana Pemerintah harus mulai dari saat ini juga berjuang melawan polusi udara
-1,kota ini diguyur racun udara PM25 heavy metal. Mengerikan bukan. tidak lama tabung oksigen bukan hanya kebutuhan orang sakit tetapi orang yang sehat juga membutuhkan tabung Oksigen. Parah ini pemerintahan RI 2019-2024
-1,"Mau terpapar berapa lama?
SeEnak apapun makanan yang kamu makan. Sebanyak apapun vitamin yang km minum. Jika terpapar logam berat heavy metal dari PM25 polusi udara. Ujung nya kematian inilah covid yang sesungguhnya"
-1,Polusi udara adalah bencana yang seharusnya bisa dicegah tetapi tidak dilakukan dengan maksud2 tertentu polusi udara adalah momok kesehatan bagi semua orang terutama orang yang berekonomi rendah inilah dosa pemerintahan Jokowi saat ini di Doakan agar rezim penjahat ini sgr berakhir
-1,Admin berharap semua warga Jakarta yang merasa dirinya lemah dan tidak mampu berbuat banyak untuk mencegah polusi udara karena ekonomi nya miskin. Berdoa agar pemerintah yang sekarang segera diganti dengan pemerintah yang lebih baik lebih mampu dan berkualitas dalam mengatasi Polusi udara di jakarta
-1,dari bacaan data polusi udara bersumber dari arah kelapa gading & bekasi. Terbawa angin timur ke arah barat masuk ke dalam kota jakarta. Orang yang gereja pun mengeluhkan masalah polusi udara saat ini. Rakyat uda terus menerus membicarakan masalah polusi udara yang tidak beradab ini kacau
-1,Polusi udara jakarta dalam 12 jam pertama pd hari ini dalam keadaan yang buruk mengerikan bukan inilah apesnya jika dpt pemimpin tidak bermutu
-1,Penduduk jakarta harus banyak2 dan sangat banyak berdoa agar pemerintah yang tidak mampu menjamin udara bersih segera diturunkan Tuhan
-1,kualitas udara mei-juni terpantau masih tinggi di mayoritas kota yang berada di jaringan sensor napas. Kota tangsel & bekasi jadi peringkat paling atas kota berpolusi Warga yang batuk/pilek jangan heran ya
-1,Hanya pemerintah yang tidak berkualitas yang membiarkan semua keburukan ini terjadi dan tanpa solusi jangan digunakan lagi jasanya
-1,Semua bukti foto langit dan data aplikasi aqi di thn 2020 admin punya datanya saat ini mah sangat culun dan masih sangat percaya dengan yang dikatakan oleh guru besar bahwa 70% polusi udara bersumber dari kendaraan bermotor. Dan saat ini sudah dibuktikan itulah hoax dari oknum tidak berilmu
-1,"14/07/2023 Jumat
Polusi udara di saat PSBB di 2020 itu tidak pernah bagus/rendah guys. Foto ini hanya sebagai pengingat saja bagi kita semua"
-1,Sedih banget bukan jika presiden yang dianggap sebagai bapak bangsa. Lalu perilakunya tidak mencerminkan hal ini. Malah berubah menjadi bapak polusi udara dia sendiri memberikan label / cap ini pd dirinya
-1,Sangat bagus yang ganjar sampaikan tetapi apakah kita bisa percaya ama team kerja yang mendukungnya sedangkan 10 thn timnya bekerja bersama jokowi hasilnya mengecewakan. Bahkan joko naik banding masalah polusi 3xsampai saat ini level kasasi coba pikir dan melek kenyataan ya
0,Siapapun Presiden mendatang HARUS menyetop penggunaan batubara. Boleh asal bisa memfilter asap buangannya dengan sempurna agar tidak membahayakan keselamatan orang lain
0,ganjar berbicara tentang masalah perubahan iklim dia tau kalau batubara adalah sumber polusi udara dia tidak menyebutkan kendaraan loh
-1,Semoga di agung sedayu kelapa gading tidak terjadi lonjakan polusi udara dari industri sabun bersayap itu kalau tidak bisa masuk tv loh. Lagi shooting film FTV di sampingnya pabrik tsb
-1,Polusi udara Jakarta 24 jam pd hari ini di nilai dalam keadaan yang buruk. 1 jam pun level kuning tidak terjadi pd hari ini ngeri ‍♂️
-1,Polusi udara 12 jam pertama jakarta dalam keadaan yang buruk. Ini bisa meningkat lagi nih covid nya. Mirip2 bau udaranya dengan thn 2021
-1,Mulai perlahan sensor2 napas mendeteksi peningkatan level polusi udara. napas walau telat tetapi penuh dengan kepastian. Salut ama napas
-1,Tidak berkah rezeki yang anda dapatkan jika dihasilkan dengan mengadakan polusi udara yang berlebih. yang menyulitkan kehidupan orang lain. Para pelaku pembuat polusi rezeki anda tidak akan bermanfaat bagi anda dan juga keturunan2 anda. Segeralah bertobat stop membuat polusi udara
-1,"Polusi udara jakarta 3:15 am
Penyebab polusi adalah asap industri di agung sedayu klp gading. Bener2 biadab ya ulah pabrik kacau‍♂️"
-1,"13/07/2023 Kamis
Terima kasih karena polusi udara buatan yang terjadi kemarin malam. Pada saat ini tidak dilakukan kembali. Semoga Tuhan membalas kebaikan anda semuanya"
-1,Polusi udara jakarta saat ini kembali memburuk level merah PM25: 062 kapok bener dah sama pemerintahan Ri yang sekarang ini kacau
-1,Polusi udara Jakarta pada hari ini 12 Juli selama 24 jam mengalami polusi udara level merah yang sangat berbahaya bagi kesehatan manusia. Dan saat ini polusi udara sudah kembali meningkat ke level merah kembali sedih tidak ‍
-1,Data polusi udara Jakarta pukul 9:45 pm mlm. Polusi Jakarta ranking 2 di dunia. Bener2 edan loh ya. Gini nih pemerintahan gagal
-1,Data polusi udara Jakarta pukul 7 pm polusi level merah sudah terjadi selama 23 jam nonstop memangbajingan nih pemerintah ina
-1,"Pencitraan satelite memberikan warna ungu ini tandanya udara jakarta benar2 sudah dalam keadaan yang sangat buruk udara ini beracun
PM25: 44 HCHO : 0056 ini tinggi
TVOC: 0338 ini tinggi"
-1,"Tren historical data napas menunjukkan pola polusi saat musim kemarau - hujan pada 2021 sampai 2023
Hmmm kalau musim hujannya telat jadi kapan ya kita bisa menikmati polusi menurun?"
